-625680.289306257,-621460.567832624,-615834.321696118,-608800.87153034,-600365.642403938,-590539.325042632,-583529.676449336,-575411.427504592,-565077.063515032,-551440.467515456,-533462.718452015,-510204.738201055,-483031.026872564,-453318.342460899,-422372.557732619,-391371.528455837,-361343.557291995,-332278.035766863,-304155.791611138,-276953.786151851,-250647.562514863,-225213.207253543,-200628.336633092,-176872.312332566,-153926.544544584,-132660.383577345,-112482.618443993,-92777.5040479435,-72909.2242628633,-38251.4750069604,-9140.18211220782,14850.6772507798,34039.3415772764,48648.2222584612
-575144.1015766,-570924.380905092,-565298.134986522,-558264.706519443,-549829.451274943,-540002.968909497,-532993.116686586,-524874.50996372,-514539.46936572,-500901.520424514,-482920.998463486,-459657.37333219,-432473.607659412,-402745.253013484,-371778.002509133,-340750.314108386,-310691.514686791,-281591.511828555,-253431.494107032,-226188.603383628,-199838.625566356,-174357.758344622,-149723.642742623,-125915.70157517,-102915.316876699,-81594.1116296347,-61359.8452753292,-41595.2024162418,-21662.0921853724,13118.1681480916,42351.0338541989,66457.9758346597,85752.2889553946,100450.309304184
-508113.233889254,-503893.526570238,-498267.300067105,-491233.882253493,-482798.513871152,-472971.709893536,-465961.522513904,-457842.390269312,-447506.429270373,-433866.724954013,-415882.650088938,-392611.822353044,-365415.325487781,-335667.185063624,-304672.704877452,-273611.059060741,-243513.00990417,-214369.037978372,-186160.819006292,-158865.795640476,-132459.98958513,-106919.767356327,-82222.8358379593,-58348.6617491172,-35278.6133904918,-13887.2402485909,6419.0657983724,26259.5358920008,46275.2696873502,81211.3512968604,110599.306748672,134852.760514501,154282.25462377,169092.848587223
-424879.730940333,-420660.069366523,-415033.903744208,-408000.576326229,-399565.198844623,-389738.150897372,-382727.652865584,-374607.979542558,-364271.009402455,-350629.310517126,-332641.144103789,-309361.890309822,-282150.363802929,-252378.876774158,-221352.261758893,-190250.509148135,-160106.091519891,-130910.15417696,-102644.920640449,-75288.1990706449,-48816.321079004,-23205.8430876852,1565.43915042867,25517.9992836757,48670.462978411,70144.8633056519,90536.3180562218,110466.477014415,130579.759061558,165700.059426585,195270.580548622,219697.3839101,239285.544584564,254228.370040859
-325781.582836177,-321562.277782942,-315936.586678287,-308903.870931164,-300469.066993963,-290642.37663741,-283631.955918378,-275512.136411035,-265174.560473935,-251531.187625318,-233538.877483031,-210250.280208113,-183021.547990247,-153223.444481463,-122160.518143446,-91013.5840102387,-60817.0446064731,-31562.6671270238,-3233.23242986189,24192.9716036259,50739.2918140333,76428.9529363571,101284.014523074,125324.901918968,148570.218680978,170138.120944515,190625.456792365,210656.560001776,230879.555248838,266207.202333969,295982.134841897,320605.412724707,340369.948999474,355459.773783824
-178460.417816454,-174241.376561161,-168616.037851847,-161583.770096484,-153149.30278426,-143322.617795611,-136311.976253582,-128191.603437476,-117852.79512263,-104206.698827434,-86208.3715222003,-62906.8523155724,-35654.6521207788,-5820.00321320776,25293.2064105447,56502.9912755695,86772.2703151443,116108.311678271,144527.501230247,172050.914377467,198701.415350922,224501.905266334,249474.255778799,273638.788096241,297014.070403985,318712.830288552,339334.305626849,359506.593960406,379883.015302336,415500.290620515,445561.162890872,470456.924145542,490468.321261975,505763.606341532
-81094.2304646796,-76875.4145654184,-71250.3755716488,-64218.4979431245,-55784.3648557705,-45957.8147438634,-38947.1255631761,-30826.508777194,-20487.0554017062,-6839.41059128975,11162.5158722723,34471.9574802093,61738.7027319572,91596.0284736548,122740.426912496,153989.220980333,184303.674983707,213690.484522474,242165.525555663,269749.460456215,296464.854143392,322334.398686337,347379.832835182,371621.414606588,395077.67707169,416857.951824271,437562.977987148,457823.173504617,478295.08585874,514092.613800082,544331.08861457,569396.500253736,589560.733679379,604983.179442495
-510.672162199534,3708.07401256059,9333.01965852957,16364.7765514337,24798.8507256518,34625.5083445595,41636.3778102998,49757.3408989331,60097.4773452942,73746.5238673783,91751.402566118,115067.055173416,142345.051524386,172220.014922614,203388.863073594,234668.364258747,265018.476075393,294445.402135052,322964.593141062,350596.398264769,377363.134582203,403287.324669814,428390.607051764,452693.173675237,476213.532556204,498058.332102352,518829.471636873,539159.226058827,559706.697630084,595646.714417043,626025.84477412,651224.570444585,671509.975127502,687033.145524014
63617.505545435,67836.1849034191,73461.0418560598,80492.6808815931,88926.6974147347,98753.4303793927,105764.431086536,113885.645574563,124226.279068089,137876.35678168,155883.459844042,179203.838900832,206490.433849629,236378.930845914,267566.539773335,298869.590110761,329247.08084268,358704.828807583,387257.949967285,414926.566978094,441732.797770725,467699.026629694,492846.820559871,517196.316570044,540766.001595584,562660.437803711,583482.462963299,603865.710319169,624471.329403481,660520.889221663,691008.229265871,716309.386627612,736687.838820558,752288.342958365
111528.564844677,115747.250423061,121372.115758931,128403.758276553,136837.808498027,146664.658140518,153675.791849268,161797.231230906,172138.280138962,185789.177046866,203797.950334714,227121.747135479,254414.507327043,284312.785280793,315514.003572497,346834.157552132,377231.593504034,406711.795467382,435289.632707341,462985.088224514,489820.110177161,515816.987923229,540997.245868549,565380.960861124,588986.616726705,610917.258311358,631776.383601719,652198.642684108,672846.653081331,708976.093858709,739542.264826787,764918.088041803,785364.15853555,801021.336169134
